sC,4,0,3800,3379,950,0,5662,-950,0
sC,5,0,3800,4551,950,0,4551,-950,0
sC,1,0,2500,6865,892,15,8192,-610,0
sC,2,0,3133,3531,759,0,3972,-1045,-29
sC,0,0,867,432,217,0,859,-217,0
sC,0,867,2033,859,508,0,471,-508,0
sC,1,2500,1300,8192,325,0,8192,-325,0
sC,0,2900,733,471,183,0,505,-183,0
sC,2,3133,600,3972,215,6,3340,-184,0
sC,0,3633,300,505,75,0,4594,-179,-219
sC,2,3733,200,3340,50,0,6091,-51,1314
sC,5,3800,300,4551,75,0,8192,-75,0
sC,1,3800,300,8192,75,0,6390,-75,0
sC,4,3800,300,5662,75,0,3936,-75,0
sC,0,3933,167,4594,102,124,3211,-42,0
sC,2,3933,167,6091,41,-1035,5448,-42,0
sC,5,4100,1367,8192,342,0,8192,-534,0
sC,2,4100,267,5448,67,0,5421,-67,0
sC,1,4100,167,6390,41,0,6390,-60,0
sC,0,4100,1367,3211,342,0,3211,-363,0
sC,4,4100,267,3936,67,0,3936,-67,0
sC,1,4267,133,6390,51,0,8192,-35,0
sC,2,4367,166,5421,57,0,6161,-72,9
sC,4,4367,166,3936,42,0,7143,-28,251
sC,1,4400,167,8192,42,0,6390,-42,0
sC,4,4533,167,7143,74,-658,4043,-89,1393
sC,2,4533,167,6161,160,-19,5334,-46,-192
sC,1,4567,900,6390,225,0,6390,-155,0
sC,2,4700,767,5334,192,796,5334,-84,0
sC,4,4700,433,4043,89,-1396,3830,-108,0
sC,4,5133,1234,3830,578,0,3736,-2724,0
sC,1,5467,700,6390,375,0,7286,-375,0
sC,0,5467,700,3211,482,0,6203,-375,0
sC,2,5467,700,5334,375,0,5724,-375,-71
sC,5,5467,700,8192,375,0,4280,-375,0
sC,2,6167,800,5724,687,131,579,-233,1874
sC,1,6167,200,7286,50,0,7286,-50,0
sC,0,6167,233,6203,81,0,6240,0,0
sC,5,6167,200,4280,50,0,4280,-50,0
sC,0,6400,567,6240,446,71,777,-154,2774
